ExpectedDateTime;Openning_hours;DateTime;Consumption_BEMT;Network_electricity active Injection Export (Wh);Ele Act Technobo (Wh);Radiation (VA);Electricity Meter reading (Wh);Solar local consumption (Wh);Gas Consumption BEMT (m3);Solar Production elektricity active  (Wh);Green energy Total (WebService) (VA);temp hall (C);Network  electricity active Buying Import (Wh);Tout (C)
31-12-2012 00:15;0;31-12-2012 00:15;39900;0;38400;;;0;10;0;0;19.94;39900;7
31-12-2012 00:30;0;31-12-2012 00:30;38500;0;37500;;;0;0;0;0;19.7;38500;7
31-12-2012 00:45;0;31-12-2012 00:45;39900;0;38700;;;0;5.2;0;0;19.92;39900;7
31-12-2012 01:00;0;31-12-2012 01:00;39900;0;38400;;;0;5.2;0;0;19.96;39900;7
31-12-2012 01:15;0;31-12-2012 01:15;40600;0;39000;;;0;5.6;0;0;19.95;40600;7
31-12-2012 01:30;0;31-12-2012 01:30;41300;0;40200;;;0;4.8;0;0;19.81;41300;7
31-12-2012 01:45;0;31-12-2012 01:45;39900;0;38400;;;0;0.8;0;0;20.24;39900;7
31-12-2012 02:00;0;31-12-2012 02:00;39900;0;38700;;;0;5.2;0;0;19.47;39900;7
31-12-2012 02:15;0;31-12-2012 02:15;39200;0;37800;;;0;5.6;0;0;19.48;39200;6.75
31-12-2012 02:30;0;31-12-2012 02:30;39200;0;38100;;;0;5.6;0;0;19.69;39200;6.5
31-12-2012 02:45;0;31-12-2012 02:45;39900;0;38400;;;0;5.6;0;0;19.63;39900;6.25
31-12-2012 03:00;0;31-12-2012 03:00;39200;0;38100;;;0;4.4;0;0;19.57;39200;6
31-12-2012 03:15;0;31-12-2012 03:15;39900;0;38100;;;0;1.2;0;0;20.02;39900;6
31-12-2012 03:30;0;31-12-2012 03:30;39200;0;38100;;;0;5.2;0;0;19.78;39200;6
31-12-2012 03:45;0;31-12-2012 03:45;39900;0;38700;;;0;6;0;0;20;39900;6
31-12-2012 04:00;0;31-12-2012 04:00;39200;0;38100;;;0;5.6;0;0;19.65;39200;6
31-12-2012 04:15;0;31-12-2012 04:15;40600;0;39000;;;0;5.6;0;0;19.85;40600;6.25
31-12-2012 04:30;0;31-12-2012 04:30;39200;0;38400;;;0;5.6;0;0;19.95;39200;6.5
31-12-2012 04:45;0;31-12-2012 04:45;39900;0;38400;;;0;5.6;0;0;19.6;39900;6.75
31-12-2012 05:00;0;31-12-2012 05:00;50400;0;48600;;;0;5.6;0;0;19.29;50400;7
31-12-2012 05:15;0;31-12-2012 05:15;53900;0;53100;;;0;5.6;0;0;19.97;53900;7
31-12-2012 05:30;0;31-12-2012 05:30;55300;0;54000;;;0;2.8;0;0;19.06;55300;7
31-12-2012 05:45;0;31-12-2012 05:45;55300;0;54000;;;0;3.6;0;0;19.81;55300;7
31-12-2012 06:00;0;31-12-2012 06:00;55300;0;54000;;;0;4.8;0;0;20.05;55300;7
31-12-2012 06:15;0;31-12-2012 06:15;56000;0;54300;;;0;11.2;0;0;19.52;56000;7
31-12-2012 06:30;0;31-12-2012 06:30;54600;0;53400;;;0;8.8;0;0;20.14;54600;7
31-12-2012 06:45;0;31-12-2012 06:45;55300;0;54000;;;0;6.8;0;0;20.08;55300;7
31-12-2012 07:00;0;31-12-2012 07:00;55300;0;54300;;;0;8.4;0;0;19.51;55300;7
31-12-2012 07:15;0;31-12-2012 07:15;55300;0;54000;;;0;12;0;0;20.03;55300;7
31-12-2012 07:30;0;31-12-2012 07:30;55300;0;54000;;;0;15.6;0;0;20.51;55300;7
31-12-2012 07:45;0;31-12-2012 07:45;56000;0;54300;;;0;10.8;0;0;20.66;56000;7
31-12-2012 08:00;0;31-12-2012 08:00;55300;0;54300;6;;0;11.2;0;151340.3;20.41;55300;7
31-12-2012 08:15;0;31-12-2012 08:15;52500;0;49500;19.35;;1400;12.4;1400;0;20.29;51100;7
31-12-2012 08:30;0;31-12-2012 08:30;55200;0;50700;32.7;;3400;9.6;3400;151340.7;20.48;51800;7
31-12-2012 08:45;0;31-12-2012 08:45;59600;0;49500;73.7;;8500;11.2;8500;151342.6;20.39;51100;7
31-12-2012 09:00;0;31-12-2012 09:00;62900;0;53700;62.6;;8300;10.8;8300;151344.9;20.71;54600;7
31-12-2012 09:15;0;31-12-2012 09:15;62400;0;53100;67.1;;7800;9.6;7800;47260.4;20.56;54600;7.25
31-12-2012 09:30;0;31-12-2012 09:30;63100;0;54000;71.6;;7800;6;7800;151348.5;20.7;55300;7.5
31-12-2012 09:45;0;31-12-2012 09:45;62700;0;53700;73.4;;7400;9.6;7400;151350.6;20.63;55300;7.75
31-12-2012 10:00;0;31-12-2012 10:00;56000;0;48300;40.8;;7000;8.8;7000;151352.7;20.67;49000;8
31-12-2012 10:15;0;31-12-2012 10:15;54700;0;45300;44.3;;7800;6.8;7800;0;20.63;46900;8.25
31-12-2012 10:30;0;31-12-2012 10:30;53700;0;45600;47.8;;6800;7.2;6800;151356.3;20.72;46900;8.5
31-12-2012 10:45;0;31-12-2012 10:45;53000;0;42600;78.4;;8900;9.2;8900;151358.3;20.84;44100;8.75
31-12-2012 11:00;0;31-12-2012 11:00;52700;0;44100;47.6;;7200;8.8;7200;151360.5;20.67;45500;9
31-12-2012 11:15;0;31-12-2012 11:15;52100;0;39300;60.1;;11500;7.2;11500;24678.7;20.93;40600;9
31-12-2012 11:30;0;31-12-2012 11:30;52000;0;39600;72.6;;11400;7.6;11400;151365.5;20.81;40600;9
31-12-2012 11:45;0;31-12-2012 11:45;51800;0;43200;46.6;;7000;7.2;7000;151367.6;20.79;44800;9
31-12-2012 12:00;0;31-12-2012 12:00;51400;0;47100;23.2;;3100;5.6;3100;151368.7;20.89;48300;9
31-12-2012 12:15;0;31-12-2012 12:15;51600;0;47100;25.25;;3300;6;3300;0;20.75;48300;9.25
